id,labels
8abb1e02042142928d5280eb2137d538,"[{'class_id': 1, 'x': 0.780455, 'y': 0.59448, 'w': 0.11781, 'h': 0.072546}, {'class_id': 1, 'x': 0.708324, 'y': 0.369504, 'w': 0.0494431, 'h': 0.0477699}, {'class_id': 1, 'x': 0.617652, 'y': 0.57906, 'w': 0.0483683, 'h': 0.0472788}]"
e2019257735b4230b8669e8372b9b339,[]
2e31937421354646854d599dccc2c80e,"[{'class_id': 2, 'x': 0.207044, 'y': 0.775564, 'w': 0.095932, 'h': 0.0999504}]"
29da3a3a93ec4c71b5415cfaac520831,"[{'class_id': 1, 'x': 0.348159, 'y': 0.484788, 'w': 0.0845653, 'h': 0.0747395}, {'class_id': 1, 'x': 0.869, 'y': 0.630777, 'w': 0.0645382, 'h': 0.0609909}, {'class_id': 1, 'x': 0.641333, 'y': 0.432359, 'w': 0.0766433, 'h': 0.0731401}, {'class_id': 1, 'x': 0.10406, 'y': 0.389663, 'w': 0.0608334, 'h': 0.0572515}, {'class_id': 1, 'x': 0.194441, 'y': 0.738204, 'w': 0.0744244, 'h': 0.0601327}, {'class_id': 1, 'x': 0.54494, 'y': 0.768787, 'w': 0.0459142, 'h': 0.0475094}, {'class_id': 1, 'x': 0.712986, 'y': 0.650891, 'w': 0.0501829, 'h': 0.0477072}]"
4d02b3570c414445b34516800e5eef75,"[{'class_id': 0, 'x': 0.513778, 'y': 0.114835, 'w': 0.170569, 'h': 0.0692008}, {'class_id': 0, 'x': 0.483735, 'y': 0.444046, 'w': 0.119361, 'h': 0.18886}, {'class_id': 0, 'x': 0.796799, 'y': 0.489996, 'w': 0.0802539, 'h': 0.125657}]"
b8c9fd8ff3894f178ee330c4ba285a95,"[{'class_id': 0, 'x': 0.455248, 'y': 0.873778, 'w': 0.192788, 'h': 0.0744644}, {'class_id': 0, 'x': 0.4618, 'y': 0.230884, 'w': 0.532835, 'h': 0.263767}, {'class_id': 0, 'x': 0.790165, 'y': 0.338113, 'w': 0.0920134, 'h': 0.0776688}]"
1b86c39d2f4742d6835dfd863df9a0bf,[]
42d825d304e84a3a8b98def23abc5136,"[{'class_id': 1, 'x': 0.421644, 'y': 0.270787, 'w': 0.135961, 'h': 0.0736753}, {'class_id': 1, 'x': 0.835073, 'y': 0.608167, 'w': 0.0770252, 'h': 0.0730427}, {'class_id': 1, 'x': 0.254289, 'y': 0.666856, 'w': 0.0825026, 'h': 0.0565048}, {'class_id': 1, 'x': 0.459108, 'y': 0.570684, 'w': 0.166767, 'h': 0.0698788}, {'class_id': 1, 'x': 0.101506, 'y': 0.598585, 'w': 0.0850847, 'h': 0.0721857}, {'class_id': 1, 'x': 0.111567, 'y': 0.351067, 'w': 0.112381, 'h': 0.131463}, {'class_id': 1, 'x': 0.162618, 'y': 0.662723, 'w': 0.0568155, 'h': 0.0487467}, {'class_id': 1, 'x': 0.630286, 'y': 0.646722, 'w': 0.0491056, 'h': 0.0437076}]"
8e2e7f45efb34454be1d4eab318ec73a,"[{'class_id': 1, 'x': 0.453059, 'y': 0.606266, 'w': 0.0817013, 'h': 0.0694469}, {'class_id': 1, 'x': 0.470992, 'y': 0.363979, 'w': 0.0956747, 'h': 0.0600507}, {'class_id': 1, 'x': 0.810266, 'y': 0.388314, 'w': 0.09679, 'h': 0.0832341}, {'class_id': 1, 'x': 0.645691, 'y': 0.360817, 'w': 0.0493748, 'h': 0.043859}, {'class_id': 1, 'x': 0.588526, 'y': 0.445258, 'w': 0.0686689, 'h': 0.0539654}]"
900171cc7641448bb3e546aa68ff16c3,"[{'class_id': 0, 'x': 0.515303, 'y': 0.862014, 'w': 0.328036, 'h': 0.0859737}, {'class_id': 0, 'x': 0.424363, 'y': 0.466125, 'w': 0.384241, 'h': 0.224442}, {'class_id': 0, 'x': 0.553944, 'y': 0.140282, 'w': 0.259749, 'h': 0.0923786}]"
